T_K,p11,fid_post,score_p11_times_fid
1,0.180514957941858706,0.694823651725870794,0.127634055349213182
2.96,0.0569645825054580779,0.693029209826432346,0.0399701202262900263
4.92,0.011872965693086426,0.691004933396954568,0.00826587465343447611
6.88,0.00216913677329058207,0.688911163723207931,0.00149826231867754549
8.84,0.000376652922704519017,0.686829765807484449,0.000258115667999034455
10.8,6.3844107708333728e-05,0.684778507510683365,4.34083590820175672e-05
12.76,1.0678685102474631e-05,0.682760058418914628,7.20374664974884942e-06
14.72,1.77194051389502459e-06,0.68077365604734652,1.18600132811009322e-06
16.68,2.92452138472527151e-07,0.678819467201509319,1.94220667064798059e-07
18.64,4.80767880137347711e-08,0.676896112638918024,3.16802752896735565e-08
20.6,7.88664469821905762e-09,0.675003894035311247,5.15663210190691565e-09
22.56,1.29120711828718577e-09,0.673138187931882181,8.37712210054261825e-10
24.52,2.10726133061619491e-10,0.671296340836548433,1.35658502585371551e-10
26.48,3.44144391536138221e-11,0.669495897455085309,2.19847045432309173e-11
28.44,5.61352057004974128e-12,0.667714692088140938,3.55842534949685281e-12
30.4,9.13399697945959435e-13,0.665949127396995078,5.74523198414013743e-13
32.36,1.49307497096274465e-13,0.664220044931163045,9.31941499420822259e-14
34.32,2.4385448539699753e-14,0.662513475227530457,1.51041374257625719e-14
36.28,3.95548289178532516e-15,0.660806737301098068,2.43089211428970487e-15
38.24,6.51068243584320344e-16,0.659179881067944118,3.97110814185155012e-16
40.2,1.0679681257763757e-16,0.657750356366973321,6.47020927731094772e-17
42.16,1.76043684100315809e-17,0.656417839312598117,1.05962180710683707e-17
44.12,2.80137532129750373e-18,0.655187473745993954,1.675554002909665e-18
46.08,4.76226206881000344e-19,0.653732552154957069,2.82789017334292141e-19
48.04,7.5011463418811109e-20,0.652162269955591678,4.41960791425423597e-20
50,1.2183371865148105e-20,0.650673589485097237,7.12536804001748062e-21
