t [ns],Omega(t) [rad/s],Area(t) [rad],|G>|^2,|X1>|^2,|X2>|^2,|XX>|^2,G_X1_out_H,G_X1_out_V,G_X2_out_H,G_X2_out_V,X1_XX_out_H,X1_XX_out_V,X2_XX_out_H,X2_XX_out_V
0.0,9.331472855152477e-09,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0020000000000000005,1.0198012666494208e-08,1.9529485521646686e-11,1.0,1.8641882726220812e-24,1.8641883995255537e-24,6.368363839837379e-22,7.571122245065527e-31,0.0,0.0,1.864189156637778e-24,0.0,7.5711222426996865e-31,1.8641890297343056e-24,0.0
0.004000000000000001,1.114303999058498e-08,4.0870538178725875e-11,1.0,4.702724576221381e-24,4.7027248963564726e-24,1.5743202285185297e-21,1.9099466621783798e-30,0.0,0.0,4.702726806303134e-24,0.0,1.909946661581557e-30,4.702726486168043e-24,0.0
0.006,1.2173476544883378e-08,6.418705471419423e-11,1.0,7.541260879820682e-24,7.541261393187391e-24,2.5118040730533215e-21,3.062781099850207e-30,0.0,0.0,7.54126445596849e-24,0.0,3.0627810988931453e-30,7.541263942601782e-24,0.0
0.008000000000000002,1.3296837141304724e-08,8.965736840038234e-11,1.0,1.0643211253150875e-22,1.0643211979687483e-22,5.51672960421122e-20,2.9348808806197007e-25,0.0,0.0,1.067256078848451e-22,0.0,2.934880879702639e-25,1.0672560061957073e-22,0.0
0.01,1.4521278941832224e-08,1.1747548448351927e-10,1.0,5.371573792500064e-22,5.371574159261283e-22,2.8649432666413676e-19,1.6008794287905902e-24,0.0,0.0,5.387582953544187e-22,0.0,1.600879428290388e-24,5.38758258678797e-22,0.0
0.012,1.5855654666971496e-08,1.47852418092323e-10,1.0,9.678826459685101e-22,9.678827120553878e-22,5.178213572861613e-19,2.908270769519222e-24,0.0,0.0,9.707909828239983e-22,0.0,2.908270768610518e-24,9.707909167380294e-22,0.0
0.014000000000000002,1.7309570062457797e-08,1.8101764282175227e-10,1.0,1.3986079126870123e-21,1.3986080081846443e-21,7.491483879081859e-19,4.215662110247854e-24,0.0,0.0,1.402823670293575e-21,0.0,4.215662108930654e-24,1.4028235747972602e-21,0.0
0.016000000000000004,1.8893445952233118e-08,2.1722065883644318e-10,1.0,1.8293331794055145e-21,1.8293333043139023e-21,9.80475418530212e-19,5.523053450976486e-24,0.0,0.0,1.834856357763153e-21,0.0,5.523053449250784e-24,1.834856232856491e-21,0.0
0.018000000000000002,2.06185852299206e-08,2.567326900185969e-10,1.0,2.2600584461240182e-21,2.2600586004431603e-21,1.2118024491522373e-18,6.830444791705118e-24,0.0,0.0,2.2668890452327314e-21,0.0,6.83044478957092e-24,2.266888890915723e-21,0.0
0.02,2.249724516692725e-08,2.998485204154447e-10,1.0,2.690783712842519e-21,2.6907838965724153e-21,1.4431294797742619e-18,8.137836132433744e-24,0.0,0.0,2.6989217327023063e-21,0.0,8.137836129891044e-24,2.6989215489749527e-21,0.0
0.022000000000000002,2.45427154430255e-08,3.468884810253974e-10,1.0,3.121508979561021e-21,3.1215091927016733e-21,1.6744565103962872e-18,9.445227473162376e-24,0.0,0.0,3.1309544201718846e-21,0.0,9.44522747021118e-24,3.1309542070341833e-21,0.0
0.024,2.676940233492151e-08,3.982005988033445e-10,1.0,3.552234246279523e-21,3.552234488830928e-21,1.9057835410183118e-18,1.0752618813891008e-23,0.0,0.0,3.56298710764146e-21,0.0,1.0752618810531304e-23,3.562986865093415e-21,0.0
0.026000000000000002,2.9192919530022813e-08,4.541629206682889e-10,1.0,3.9829595129980255e-21,3.982959784960186e-21,2.137110571640337e-18,1.206001015461964e-23,0.0,0.0,3.995019795111038e-21,0.0,1.206001015085144e-23,3.995019523152645e-21,0.0
0.028000000000000004,3.1830186066536484e-08,5.151860262648481e-10,1.0,4.413684779716526e-21,4.413685081089443e-21,2.368437602262361e-18,1.3367401495348266e-23,0.0,0.0,4.427052482580614e-21,0.0,1.336740149117157e-23,4.4270521812118744e-21,0.0
0.03,3.4699531937265394e-08,5.817157442686499e-10,1.0,4.844410046435028e-21,4.844410377218699e-21,2.5997646328843862e-18,1.4674792836076897e-23,0.0,0.0,4.859085170050191e-21,0.0,1.46747928314917e-23,4.859084839271105e-21,0.0
0.03200000000000001,3.78208119332125e-08,6.542360881391279e-10,1.0,5.275135313153532e-21,5.275135673347957e-21,2.8310916635064116e-18,1.598218417680553e-23,0.0,0.0,5.291117857519769e-21,0.0,1.5982184171811835e-23,5.291117497330338e-21,0.0
0.034,4.121552834448613e-08,7.332724284168266e-10,1.0,5.705860579872034e-21,5.705860969477215e-21,3.062418694128437e-18,1.728957551753416e-23,0.0,0.0,5.723150544989347e-21,0.0,1.7289575512131965e-23,5.7231501553895685e-21,0.0
0.036000000000000004,4.4906963180212895e-08,8.193949199415258e-10,1.0,6.136585846590538e-21,6.136586265606473e-21,3.2937457247504622e-18,1.8596966858262793e-23,0.0,0.0,6.155183232458925e-21,0.0,1.8596966852452098e-23,6.155182813448801e-21,0.0
0.038000000000000006,4.89203206163675e-08,9.132222037381059e-10,1.0,6.567311113309039e-21,6.567311561735728e-21,3.525072755372487e-18,1.990435819899142e-23,0.0,0.0,6.587215919928501e-21,0.0,1.9904358192772228e-23,6.58721547150803e-21,0.0
0.04,5.328288043083451e-08,1.015425404785308e-09,1.0,6.998036380027541e-21,6.998036857864986e-21,3.756399785994512e-18,2.1211749539720054e-23,0.0,0.0,7.019248607398079e-21,0.0,2.121174953309236e-23,7.019248129567261e-21,0.0
0.042,5.8024163238827e-08,1.1267324484549696e-09,1.0,7.428761646746043e-21,7.428762153994243e-21,3.9877268166165374e-18,2.2519140880448686e-23,0.0,0.0,7.451281294867655e-21,0.0,2.2519140873412494e-23,7.451280787626491e-21,0.0
0.044000000000000004,6.31761083991767e-08,1.247932720092973e-09,1.0,7.859486913464545e-21,7.8594874501235e-21,4.219053847238562e-18,2.3826532221177312e-23,0.0,0.0,7.883313982337232e-21,0.0,2.382653221373262e-23,7.883313445685722e-21,0.0
0.046000000000000006,6.877326552328228e-08,1.379882094015432e-09,1.0,8.290212180183047e-21,8.290212746252757e-21,4.450380877860587e-18,2.5133923561905944e-23,0.0,0.0,8.31534666980681e-21,0.0,2.5133923554052754e-23,8.315346103744954e-21,0.0
0.048,7.485300058381301e-08,1.5235083601225276e-09,1.0,8.72093744690155e-21,8.720938042382014e-21,4.681707908482613e-18,2.6441314902634576e-23,0.0,0.0,8.747379357276387e-21,0.0,2.6441314894372887e-23,8.747378761804184e-21,0.0
0.05000000000000001,8.145571768992433e-08,1.679817078396265e-09,1.0,9.151662713620053e-21,9.151663338511272e-21,4.913034939104637e-18,2.774870624336321e-23,0.0,0.0,9.179412044745965e-21,0.0,2.774870623469302e-23,9.179411419863416e-21,0.0
0.052000000000000005,8.862509767001723e-08,1.8498978937562068e-09,1.0,9.582387980338556e-21,9.58238863464053e-21,5.144361969726663e-18,2.9056097584091837e-23,0.0,0.0,9.611444732215543e-21,0.0,2.905609757501315e-23,9.611444077922648e-21,0.0
0.054,9.640835468219528e-08,2.034931346108419e-09,1.0,1.0013113247057058e-20,1.0013113930769786e-20,5.375689000348688e-18,3.036348892482047e-23,0.0,0.0,1.004347741968512e-20,0.0,3.036348891533328e-23,1.0043476735981878e-20,0.0
0.05600000000000001,1.0485651215692462e-07,2.236196212947539e-09,1.0,1.044383851377556e-20,1.0443839226899043e-20,5.6070160309707124e-18,3.16708802655491e-23,0.0,0.0,1.0475510107154696e-20,0.0,3.167088025565341e-23,1.0475509394041109e-20,0.0
0.05800000000000001,1.140246994662264e-07,2.45507742457069e-09,1.0,1.0874563780494062e-20,1.08745645230283e-20,5.838343061592738e-18,3.2978271606277726e-23,0.0,0.0,1.0907542794624273e-20,0.0,3.297827159597354e-23,1.090754205210034e-20,0.0
0.06,1.239724708093897e-07,2.6930745948463057e-09,1.0,1.1305289047212563e-20,1.1305289819157556e-20,6.069670092214762e-18,3.428566294700636e-23,0.0,0.0,1.1339575482093849e-20,0.0,3.428566293629367e-23,1.1339574710159569e-20,0.0
0.062000000000000006,1.3476414790708198e-07,2.9518112135627775e-09,1.0,1.1736014313931066e-20,1.1736015115286814e-20,6.300997122836788e-18,3.559305428773499e-23,0.0,0.0,1.1771608169563428e-20,0.0,3.55930542766138e-23,1.1771607368218802e-20,0.0
0.06400000000000002,1.4646918820412452e-07,3.233044549673984e-09,1.0,1.2166739580649567e-20,1.216674041141607e-20,6.532324153458813e-18,3.690044562846362e-23,0.0,0.0,1.2203640857033005e-20,0.0,3.690044561693394e-23,1.220364002627803e-20,0.0
0.066,1.5916258039660776e-07,3.538676318274717e-09,1.0,1.2597464847368071e-20,1.2597465707545328e-20,6.763651184080838e-18,3.8207836969192254e-23,0.0,0.0,1.2635673544502583e-20,0.0,3.820783695725407e-23,1.2635672684337263e-20,0.0
0.068,1.7292526922176613e-07,3.870764167893091e-09,1.0,1.3028190114086573e-20,1.3028191003674585e-20,6.994978214702863e-18,3.9515228309920886e-23,0.0,0.0,1.3067706231972159e-20,0.0,3.9515228297574205e-23,1.3067705342396494e-20,0.0
