t [ns],Omega(t) [rad/s],Area(t) [rad],|G>|^2,|X1>|^2,|X2>|^2,|XX>|^2,G_X1_out_H,G_X1_out_V,G_X2_out_H,G_X2_out_V,X1_XX_out_H,X1_XX_out_V,X2_XX_out_H,X2_XX_out_V
0.0,3.468914163081943e-86,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0020000000000000005,7.714036748816731e-86,1.1182950911898675e-88,1.0,3.288213275294883e-179,3.288213499137966e-179,1.589081540889423e-175,1.0463032427448914e-185,0.0,0.0,3.288214545441209e-179,0.0,1.0463032424179414e-185,3.2882143215981256e-179,0.0
0.004000000000000001,1.7126750941600134e-85,3.602373860231554e-88,1.0,8.29506918479545e-179,8.295069749477148e-179,4.0030518551111313e-175,2.639481072187767e-185,0.0,0.0,8.295072388958219e-179,0.0,2.6394810713629786e-185,8.295071824276523e-179,0.0
0.006,3.7964124575970206e-85,9.111461411988587e-88,1.0,1.3301925094296018e-178,1.3301925999816332e-178,6.41702216933284e-175,4.232658901630643e-185,0.0,0.0,1.3301930232475232e-178,0.0,4.2326589003080164e-185,1.3301929326954918e-178,0.0
0.008000000000000002,8.401888740993914e-85,2.130976261057952e-87,1.0,2.5125375727308563e-176,2.512537743805609e-176,2.2259909607968662e-162,5.176781607952933e-180,0.0,0.0,2.5130554219662426e-176,0.0,5.176781606335487e-180,2.5130552508916517e-176,0.0
0.01,1.8564599799788329e-84,4.8276251151361765e-87,1.0,1.3628649858334224e-175,1.3628650786288885e-175,1.214217039589383e-161,2.8237680770806764e-179,0.0,0.0,1.3631474554365083e-175,0.0,2.8237680761983746e-179,1.3631473626411304e-175,0.0
0.012,4.095428852465741e-84,1.077951394758075e-86,1.0,2.4744762143937636e-175,2.474476382877225e-175,2.2058349830990857e-161,5.1298579933660925e-179,0.0,0.0,2.4749893686764014e-175,0.0,5.129857991763222e-179,2.4749892001931002e-175,0.0
0.014000000000000002,9.02024447800129e-84,2.3895187278047783e-86,1.0,3.5860874429541094e-175,3.586087687125566e-175,3.1974529266087884e-161,7.435947909651498e-179,0.0,0.0,3.5868312819162986e-175,0.0,7.43594790732807e-179,3.586831037745075e-175,0.0
0.016000000000000004,1.983546382175088e-83,5.275089557779996e-86,1.0,4.697698671514455e-175,4.6976989913739026e-175,4.189070870118491e-161,9.742037825936903e-179,0.0,0.0,4.698673195156192e-175,0.0,9.742037822892918e-179,4.6986728752970486e-175,0.0
0.018000000000000002,4.354833356500559e-83,1.161346929645565e-85,1.0,5.809309900074801e-175,5.809310295622239e-175,5.1806888136281875e-161,1.2048127742222308e-178,0.0,0.0,5.810515108396085e-175,0.0,1.2048127738457777e-178,5.810514712849023e-175,0.0
0.02,9.545657554091288e-83,2.5513960207047485e-85,1.0,6.920921128635138e-175,6.920921599870571e-175,6.17230675713789e-161,1.4354217658507713e-178,0.0,0.0,6.922357021635973e-175,0.0,1.4354217654022613e-178,6.922356550400988e-175,0.0
0.022000000000000002,2.0890329419848128e-82,5.594994718098687e-85,1.0,8.032532357195483e-175,8.032532904118908e-175,7.16392470064759e-161,1.6660307574793118e-178,0.0,0.0,8.034198934875866e-175,0.0,1.666030756958746e-178,8.034198387952963e-175,0.0
0.024,4.564464728817988e-82,1.2248492388901495e-84,1.0,9.144143585755825e-175,9.14414420836724e-175,8.15554264415729e-161,1.8966397491078512e-178,0.0,0.0,9.146040848115755e-175,0.0,1.8966397485152298e-178,9.146040225504932e-175,0.0
0.026000000000000002,9.957253212760938e-82,2.6770210330480433e-84,1.0,1.025575481431617e-174,1.0255755512615576e-174,9.147160587666992e-161,2.1272487407363928e-178,0.0,0.0,1.0257882761355647e-174,0.0,2.1272487400717146e-178,1.0257882063056906e-174,0.0
0.028000000000000004,2.16867451580847e-81,5.841420870132605e-84,1.0,1.1367366042876512e-174,1.1367366816863908e-174,1.0138778531176692e-160,2.3578577323649322e-178,0.0,0.0,1.1369724674595537e-174,0.0,2.3578577316281982e-178,1.1369723900608877e-174,0.0
0.03,4.715788614948171e-81,1.2725884000889241e-83,1.0,1.2478977271436853e-174,1.2478978121112245e-174,1.1130396474686391e-160,2.5884667239934727e-178,0.0,0.0,1.248156658783543e-174,0.0,2.588466723184683e-178,1.2481565738160845e-174,0.0
0.03200000000000001,1.0238101056531163e-80,2.767977367236859e-83,1.0,1.3590588499997199e-174,1.3590589425360586e-174,1.2122014418196094e-160,2.8190757156220143e-178,0.0,0.0,1.3593408501075326e-174,0.0,2.819075714741168e-178,1.359340757571282e-174,0.0
0.034,2.2191651480570963e-80,6.0109526209470744e-83,1.0,1.4702199728557544e-174,1.4702200729608923e-174,1.3113632361705797e-160,3.049684707250555e-178,0.0,0.0,1.470525041431522e-174,0.0,3.049684706297653e-178,1.4705249413264794e-174,0.0
0.036000000000000004,4.802473346495949e-80,1.3032591115500125e-82,1.0,1.581381095711789e-174,1.581381203385726e-174,1.41052503052155e-160,3.2802936988790953e-178,0.0,0.0,1.5817092327555113e-174,0.0,3.280293697854138e-178,1.581709125081677e-174,0.0
0.038000000000000006,1.0376369586299032e-79,2.821143404829507e-82,1.0,1.6925422185678227e-174,1.6925423338105591e-174,1.50968682487252e-160,3.5109026905076353e-178,0.0,0.0,1.6928934240795003e-174,0.0,3.5109026894106216e-178,1.6928933088368734e-174,0.0
0.04,2.2383656358976347e-79,6.097145999357047e-82,1.0,1.8037033414238573e-174,1.8037034642353928e-174,1.6088486192234898e-160,3.7415116821361764e-178,0.0,0.0,1.8040776154034895e-174,0.0,3.7415116809671063e-178,1.804077492592071e-174,0.0
0.042,4.820829326627857e-79,1.3156340961882544e-81,1.0,1.9148644642798918e-174,1.9148645946602264e-174,1.70801041357446e-160,3.972120673764717e-178,0.0,0.0,1.9152618067274787e-174,0.0,3.972120672523591e-178,1.9152616763472682e-174,0.0
0.044000000000000004,1.0366152930319737e-78,2.8343323218830103e-81,1.0,2.026025587135926e-174,2.0260257250850596e-174,1.80717220792543e-160,4.202729665393257e-178,0.0,0.0,2.0264459980514677e-174,0.0,4.2027296640800753e-178,2.026445860102465e-174,0.0
