t [ns],Omega(t) [rad/s],Area(t) [rad],|G>|^2,|X1>|^2,|X2>|^2,|XX>|^2,G_X1_out_H,G_X1_out_V,G_X2_out_H,G_X2_out_V,X1_XX_out_H,X1_XX_out_V,X2_XX_out_H,X2_XX_out_V
0.0,3.468914163081943e-86,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0020000000000000005,7.714036748816731e-86,1.1182950911898675e-88,1.0,3.288213388151533e-179,3.288213611994624e-179,1.589496700915733e-175,1.0463032427448914e-185,0.0,0.0,3.288214658297867e-179,0.0,1.0463032424179414e-185,3.288214434454775e-179,0.0
0.004000000000000001,1.7126750941600134e-85,3.602373860231554e-88,1.0,8.295069469495889e-179,8.295070034177607e-179,4.004099167957524e-175,2.639481072187767e-185,0.0,0.0,8.295072673658678e-179,0.0,2.6394810713629786e-185,8.295072108976962e-179,0.0
0.006,3.7964124575970206e-85,9.111461411988587e-88,1.0,1.3301925550840245e-178,1.330192645636059e-178,6.418701634999315e-175,4.232658901630643e-185,0.0,0.0,1.330193068901949e-178,0.0,4.2326589003080164e-185,1.3301929783499145e-178,0.0
0.008000000000000002,8.401888740993914e-85,2.130976261057952e-87,1.0,2.513191146764063e-176,2.5131913178833895e-176,2.226534837279481e-162,5.176781785626917e-180,0.0,0.0,2.5137089960617906e-176,0.0,5.176781784009471e-180,2.5137088249426256e-176,0.0
0.01,1.8564599799788329e-84,4.8276251151361765e-87,1.0,1.3632214922869175e-175,1.3632215851066592e-175,1.2145137092992902e-161,2.8237681739969954e-179,0.0,0.0,1.3635039619239707e-175,0.0,2.8237681731146935e-179,1.3635038691043172e-175,0.0
0.012,4.095428852465741e-84,1.077951394758075e-86,1.0,2.4751238698974333e-175,2.4751240384249884e-175,2.206373934870645e-161,5.129858169431321e-179,0.0,0.0,2.4756370242417713e-175,0.0,5.129858167828462e-179,2.4756368557143764e-175,0.0
0.014000000000000002,9.02024447800129e-84,2.3895187278047783e-86,1.0,3.5870262475079535e-175,3.5870264917433176e-175,3.1982341604419933e-161,7.435948164865636e-179,0.0,0.0,3.587770086559572e-175,0.0,7.435948162542219e-179,3.58776984232444e-175,0.0
0.016000000000000004,1.983546382175088e-83,5.275089557779996e-86,1.0,4.698928625118469e-175,4.6989289450616513e-175,4.190094386013348e-161,9.742038160299961e-179,0.0,0.0,4.699903148877377e-175,0.0,9.742038157255976e-179,4.6999028289344994e-175,0.0
0.018000000000000002,4.354833356500559e-83,1.161346929645565e-85,1.0,5.81083100272899e-175,5.81083139837998e-175,5.181954611584703e-161,1.2048128155734276e-178,0.0,0.0,5.812036211195178e-175,0.0,1.2048128151969745e-178,5.812035815544563e-175,0.0
0.02,9.545657554091288e-83,2.5513960207047485e-85,1.0,6.922733380339501e-175,6.922733851698305e-175,6.173814837156048e-161,1.435421815116859e-178,0.0,0.0,6.924169273512974e-175,0.0,1.435421814668349e-178,6.924168802154617e-175,0.0
0.022000000000000002,2.0890329419848128e-82,5.594994718098687e-85,1.0,8.034635757950017e-175,8.034636305016634e-175,7.1656750627274e-161,1.6660308146602916e-178,0.0,0.0,8.036302335830774e-175,0.0,1.666030814139726e-178,8.036301788764677e-175,0.0
0.024,4.564464728817988e-82,1.2248492388901495e-84,1.0,9.146538135560532e-175,9.146538758334959e-175,8.157535288298748e-161,1.896639814203722e-178,0.0,0.0,9.14843539814857e-175,0.0,1.8966398136111006e-178,9.148434775374736e-175,0.0
0.026000000000000002,9.957253212760938e-82,2.6770210330480433e-84,1.0,1.0258440513171048e-174,1.0258441211653288e-174,9.1493955138701e-161,2.1272488137471546e-178,0.0,0.0,1.026056846046637e-174,0.0,2.1272488130824774e-178,1.0260567761984794e-174,0.0
0.028000000000000004,2.16867451580847e-81,5.841420870132605e-84,1.0,1.1370342890781564e-174,1.1370343664971613e-174,1.0141255739441448e-160,2.357857813290586e-178,0.0,0.0,1.1372701522784166e-174,0.0,2.357857812553852e-178,1.1372700748594853e-174,0.0
0.03,4.715788614948171e-81,1.2725884000889241e-83,1.0,1.248224526839208e-174,1.2482246118289942e-174,1.1133115965012803e-160,2.5884668128340175e-178,0.0,0.0,1.2484834585101967e-174,0.0,2.588466812025229e-178,1.2484833735204913e-174,0.0
0.03200000000000001,1.0238101056531163e-80,2.767977367236859e-83,1.0,1.3594147646002595e-174,1.3594148571608271e-174,1.2124976190584154e-160,2.81907581237745e-178,0.0,0.0,1.3596967647419768e-174,0.0,2.8190758114966046e-178,1.3596966721814972e-174,0.0
0.034,2.2191651480570963e-80,6.0109526209470744e-83,1.0,1.4706050023613116e-174,1.4706051024926605e-174,1.3116836416155506e-160,3.049684811920882e-178,0.0,0.0,1.4709100709737574e-174,0.0,3.049684810967981e-178,1.4709099708425036e-174,0.0
0.036000000000000004,4.802473346495949e-80,1.3032591115500125e-82,1.0,1.5817952401223631e-174,1.5817953478244934e-174,1.4108696641726857e-160,3.280293811464314e-178,0.0,0.0,1.5821233772055375e-174,0.0,3.2802938104393566e-178,1.5821232695035095e-174,0.0
0.038000000000000006,1.0376369586299032e-79,2.821143404829507e-82,1.0,1.6929854778834147e-174,1.692985593156326e-174,1.5100556867298206e-160,3.5109028110077456e-178,0.0,0.0,1.6933366834373169e-174,0.0,3.510902809910732e-178,1.6933365681645154e-174,0.0
0.04,2.2383656358976347e-79,6.097145999357047e-82,1.0,1.8041757156444663e-174,1.8041758384881588e-174,1.6092417092869557e-160,3.7415118105511776e-178,0.0,0.0,1.804549989669097e-174,0.0,3.741511809382108e-178,1.8045498668255213e-174,0.0
0.042,4.820829326627857e-79,1.3156340961882544e-81,1.0,1.915365953405518e-174,1.9153660838199918e-174,1.708427731844091e-160,3.9721208100946096e-178,0.0,0.0,1.915763295900877e-174,0.0,3.9721208088534844e-178,1.9157631654865275e-174,0.0
0.044000000000000004,1.0366152930319737e-78,2.8343323218830103e-81,1.0,2.0265561911665694e-174,2.0265563291518242e-174,1.8076137544012257e-160,4.2027298096380405e-178,0.0,0.0,2.0269766021326567e-174,0.0,4.2027298083248596e-178,2.0269764641475334e-174,0.0
0.046000000000000006,2.2254538664429917e-78,6.0964014813579795e-81,1.0,2.1377464289276214e-174,2.137746574483657e-174,1.906799776958361e-160,4.433338809181473e-178,0.0,0.0,2.1381899083644366e-174,0.0,4.433338807796236e-178,2.1381897628085396e-174,0.0
0.048,4.770069522465022e-78,1.3091924870266e-80,1.0,2.248936666688673e-174,2.2489368198154905e-174,2.005985799515496e-160,4.663947808724905e-178,0.0,0.0,2.2494032145962173e-174,0.0,4.663947807267612e-178,2.2494030614695457e-174,0.0
0.05000000000000001,1.0207889275770409e-77,2.8069883668501447e-80,1.0,2.3601269044497246e-174,2.3601270651473234e-174,2.1051718220726315e-160,4.894556808268337e-178,0.0,0.0,2.360616520827997e-174,0.0,4.894556806738988e-178,2.3606163601305514e-174,0.0
0.052000000000000005,2.180983205319391e-77,6.008760499746579e-80,1.0,2.471317142210776e-174,2.4713173104791564e-174,2.2043578446297667e-160,5.125165807811769e-178,0.0,0.0,2.4718298270597775e-174,0.0,5.125165806210364e-178,2.471829658791557e-174,0.0
0.054,4.652365438646536e-77,1.2842109143712488e-79,1.0,2.5825073799718277e-174,2.5825075558109884e-174,2.3035438671869015e-160,5.3557748073552e-178,0.0,0.0,2.5830431332915565e-174,0.0,5.35577480568174e-178,2.5830429574525633e-174,0.0
0.05600000000000001,9.908329695306294e-77,2.740280427766533e-79,1.0,2.6936976177328793e-174,2.6936978011428218e-174,2.4027298897440367e-160,5.586383806898632e-178,0.0,0.0,2.6942564395233372e-174,0.0,5.586383805153116e-178,2.694256256113569e-174,0.0
