t [ns],Omega(t) [rad/s],Area(t) [rad],|G>|^2,|X1>|^2,|X2>|^2,|XX>|^2,G_X1_out_H,G_X1_out_V,G_X2_out_H,G_X2_out_V,X1_XX_out_H,X1_XX_out_V,X2_XX_out_H,X2_XX_out_V
0.0,3.468914163081943e-86,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0020000000000000005,7.714036748816731e-86,1.1182950911898675e-88,1.0,3.288213275290158e-179,3.288213499142689e-179,1.5890815636877987e-175,1.0463032427448914e-185,0.0,0.0,3.2882145454412075e-179,0.0,1.0463032424179414e-185,3.288214321598125e-179,0.0
0.004000000000000001,1.7126750941600134e-85,3.602373860231554e-88,1.0,8.295069184783534e-179,8.295069749489066e-179,4.003051912623982e-175,2.639481072187767e-185,0.0,0.0,8.295072388958219e-179,0.0,2.6394810713629786e-185,8.295071824276523e-179,0.0
0.006,3.7964124575970206e-85,9.111461411988587e-88,1.0,1.3301925094276908e-178,1.3301925999835442e-178,6.417022261560165e-175,4.232658901630643e-185,0.0,0.0,1.3301930232475232e-178,0.0,4.2326589003080164e-185,1.3301929326954918e-178,0.0
0.008000000000000002,8.401888740993914e-85,2.130976261057952e-87,1.0,2.512537606284315e-176,2.5125377820337115e-176,2.22621933374477e-162,5.176781607945439e-180,0.0,0.0,2.5130554578570323e-176,0.0,5.176781606342883e-180,2.5130552867824228e-176,0.0
0.01,1.8564599799788329e-84,4.8276251151361765e-87,1.0,1.3628650041359313e-175,1.3628650994812562e-175,1.2143416107712007e-161,2.823768077076623e-179,0.0,0.0,1.363147475013947e-175,0.0,2.8237680762024325e-179,1.3631473822185684e-175,0.0
0.012,4.095428852465741e-84,1.077951394758075e-86,1.0,2.4744762476434357e-175,2.4744764207591544e-175,2.206061288167937e-161,5.129857993358713e-179,0.0,0.0,2.474989404242204e-175,0.0,5.129857991770599e-179,2.4749892357588988e-175,0.0
0.014000000000000002,9.02024447800129e-84,2.3895187278047783e-86,1.0,3.5860874911509446e-175,3.5860877420370486e-175,3.1977809655646732e-161,7.435947909640814e-179,0.0,0.0,3.5868313334704567e-175,0.0,7.435947907338754e-179,3.5868310892992345e-175,0.0
0.016000000000000004,1.983546382175088e-83,5.275089557779996e-86,1.0,4.697698734658449e-175,4.697699063314942e-175,4.189500642961403e-161,9.742037825922904e-179,0.0,0.0,4.6986732626987094e-175,0.0,9.742037822906921e-179,4.6986729428395644e-175,0.0
0.018000000000000002,4.354833356500559e-83,1.161346929645565e-85,1.0,5.809309978165957e-175,5.809310384592841e-175,5.1812203203581395e-161,1.2048127742205005e-178,0.0,0.0,5.810515191926967e-175,0.0,1.2048127738475075e-178,5.8105147963799e-175,0.0
0.02,9.545657554091288e-83,2.5513960207047485e-85,1.0,6.920921221673457e-175,6.92092170587073e-175,6.1729399977548695e-161,1.4354217658487093e-178,0.0,0.0,6.922357121155215e-175,0.0,1.435421765404323e-178,6.922356649920226e-175,0.0
0.022000000000000002,2.0890329419848128e-82,5.594994718098687e-85,1.0,8.032532465180966e-175,8.032533027148624e-175,7.164659675151603e-161,1.6660307574769183e-178,0.0,0.0,8.034199050383468e-175,0.0,1.6660307569611398e-178,8.034198503460561e-175,0.0
0.024,4.564464728817988e-82,1.2248492388901495e-84,1.0,9.144143708688466e-175,9.144144348426517e-175,8.156379352548336e-161,1.8966397491051273e-178,0.0,0.0,9.146040979611719e-175,0.0,1.8966397485179553e-178,9.146040357000887e-175,0.0
0.026000000000000002,9.957253212760938e-82,2.6770210330480433e-84,1.0,1.0255754952195975e-174,1.0255755669704412e-174,9.148099029945069e-161,2.1272487407333363e-178,0.0,0.0,1.0257882908839972e-174,0.0,2.1272487400747708e-178,1.0257882210541221e-174,0.0
0.028000000000000004,2.16867451580847e-81,5.841420870132605e-84,1.0,1.136736619570348e-174,1.1367366990982305e-174,1.0139818707341799e-160,2.3578577323615453e-178,0.0,0.0,1.1369724838068226e-174,0.0,2.3578577316315862e-178,1.1369724064081552e-174,0.0
